Título,ID,Taxa de Abertura,Clicks,Data de Envio,Data Consulta,Qtd Enviados,Data,Tag Produto,Aberturas Absolutas,Cliques Absolutos,CTOR
AIQON | Podemos falar sobre cibersegurança?,0d75344e64,2925887802,2959341225,20/01/2026,02/02/2026,3995,2026-01-20,Institucional / Outros,11688921768990,11822568193875,1.0114335973433886
"AIQON | *|FNAME|*, posso reservar o seu lugar?",775cb2b41e,2125766265,415265968,29/01/2026,02/02/2026,5357,2026-01-29,Institucional / Outros,11387729881605,2224579790576,0.19534883718742238
"AIQON | *|FNAME|*, posso reservar o seu lugar?",214dd8d96d,2547673532,3051106026,27/01/2026,02/02/2026,1600,2026-01-27,Institucional / Outros,4076277651200,4881769641600,1.197604790282839
"AIQON | *|FNAME|*, posso reservar o seu lugar?",214dd8d96d,2547673532,3051106026,27/01/2026,02/03/2026,1600,2026-01-27,Institucional / Outros,4076277651200,4881769641600,1.197604790282839
"AIQON | *|FNAME|*, posso reservar o seu lugar?",775cb2b41e,2191022345,415265968,29/01/2026,02/05/2026,5357,2026-01-29,Institucional / Outros,11737306702165,2224579790576,0.18953068595929815
"AIQON | *|FNAME|*, posso reservar o seu lugar?",cca802357b,2875579754,4214559387,04/02/2026,11/02/2026,5279,2026-02-04,Institucional / Outros,15180185521366,22248659003973,1.4656381486680894
